event_id,timestamp_utc,country,region,city,site_code,latitude,longitude,agent_id,agent_rank,agent_clearance,team_id,operation_id,operation_codename,operation_type,target_sector,target_importance_score,target_risk_level,intel_source_primary,intel_source_secondary,intel_confidence_score,threat_score_overall,threat_financial,threat_cyber,threat_physical,money_moved_usd,records_exfiltrated,compromised_accounts,channel_email,channel_phone,channel_darknet,channel_field_meet,status,triage_priority,requires_manual_review,escalated_to_level,false_positive_flag,model_version,notes_short,feature_01,feature_02,feature_03,feature_04,feature_05,feature_06,feature_07,feature_08,feature_09,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60
EVT-0000015,2024-03-06 08:03:04,CZ,EU-CENTRAL,Prague,CZ-850,50.78344,13.24716,AG-9954,ANALYST,CONFIDENTIAL,T-035,OP-2024-000015,DEEPBLUE-981,MONEY_LAUNDERING,Finance,4,LOW,SIGINT,HUMINT,39,33,36,39,23,155595,2078,77,N,N,Y,N,DISMISSED,P3,N,1,Y,aurora-1.0,possible duplicate event,43.73,35.37,43.82,38.28,24.09,31.5,30.93,34.68,31.17,32.78,20.57,25.66,14.99,12.95,22.61,21.59,16.51,11.57,13.75,15.18,21.79,24.74,14.88,25.58,17.24,18.86,13.9,31.45,14.73,32.04,64.57,68.09,89.6,72.67,86.59,51.25,84.27,64.08,60.82,82.94,0,39.44,22.69,24.63,0,0,38.38,0,42.51,23.27,2.26,0.51,24.36,35.38,5.8,24.96,52.58,20.06,23.33,21.43
EVT-0000026,2024-07-18 17:42:28,CZ,EU-CENTRAL,Prague,CZ-922,50.09647,14.3903,AG-5856,FIELD,SECRET,T-033,OP-2024-000026,AURORA-971,MONEY_LAUNDERING,Government,10,CRITICAL,CYBINT,SIGINT,60,48,42,63,34,240221,2542,110,N,Y,Y,N,NEW,P1,Y,2,N,aurora-1.0,anomaly detected,32.88,40.12,55.55,21.85,33.76,41.87,57.12,51.73,53.95,43.33,27.85,28.58,24.4,18.54,18.64,17.39,22.17,22.99,19.9,28.42,27.33,20.62,24.85,31.07,21.82,31.34,20.85,20.63,23.44,24.55,100,100,100,100,100,100,100,100,100,100,28.76,14.97,29.81,0.27,31.88,15.1,0,41.67,9.41,5.4,34.25,24.41,38.23,2.29,16.38,0,23.78,45.65,51.47,0
EVT-0000028,2024-08-20 08:29:19,CZ,EU-CENTRAL,Prague,CZ-997,50.18045,13.5659,AG-1089,JUNIOR,TOP_SECRET,T-034,OP-2024-000028,AURORA-533,MONEY_LAUNDERING,Education,10,CRITICAL,HUMINT,FININT,53,63,81,65,43,329696,2121,139,Y,Y,N,N,NEW,P1,Y,2,N,aurora-2.0,manual verification pending,69.54,59.02,60.1,42.96,67.05,58.89,74.54,66.04,54.91,66.26,31.07,41.64,32.25,32.51,26.42,31.47,37.53,24.2,34.17,35.02,26.18,9.81,25.48,33.74,24.25,26.42,21.87,18.66,29.44,20.7,100,100,100,100,100,100,100,100,100,100,84.21,32.32,34.96,24.11,26.58,52.05,56.02,17.91,33.79,29.32,56.12,0,17.72,50.88,18.65,0,37.28,17.02,47.56,44.53
EVT-0000035,2024-09-30 21:33:26,CZ,EU-CENTRAL,Prague,CZ-978,49.6303,12.75166,AG-7780,JUNIOR,SECRET,T-016,OP-2024-000035,SPECTRUM-463,INSIDER_TRADING,Healthcare,2,MEDIUM,CYBINT,OSINT,63,47,43,63,29,250932,2273,150,N,N,N,N,NEW,P3,N,1,N,aurora-1.1,pattern matches known cluster,48.96,51.21,46.33,43.75,56.7,40.86,62.15,63.44,43.82,49.62,31.59,27.96,27.74,21.85,23.6,16.86,26.28,22.46,29.01,23.36,19.22,24.79,21.07,26.48,21.52,19.58,21.35,32.51,22.32,24.69,59.07,61.14,35.78,44.88,59.13,61.78,37.82,66.72,43.1,65.93,14.2,47.55,1.65,22.52,17.15,31.05,18.49,12.74,22.24,42.7,12.38,40.99,17.39,13.7,19.05,42.77,12.44,35.38,22.48,55.22
EVT-0000045,2024-10-02 20:03:42,CZ,EU-CENTRAL,Prague,CZ-643,49.91453,13.57526,AG-6132,JUNIOR,CONFIDENTIAL,T-032,OP-2024-000045,SPECTRUM-766,INSIDER_TRADING,Education,6,MEDIUM,OSINT,FININT,57,62,73,56,59,338463,3879,136,Y,N,Y,N,NEW,P2,Y,2,N,aurora-1.2,incomplete metadata,81.49,91.6,56.29,50.32,58.84,67.81,63.73,51.7,61.31,64.38,28.27,34.27,31.94,39.43,36.6,33.63,29.64,27.16,32.79,34.85,31.32,38.04,31.93,42.91,35.92,40.48,32.37,42.34,38.49,37.41,85.31,71.83,84.57,91.07,81.06,89.31,85.08,91.72,83.64,98.4,65.22,61.8,21.21,26.91,16.33,20.21,0,23.38,20.27,18.07,0,12.97,32.29,46.67,62.28,53.64,9.08,50.4,23.21,40.96
EVT-0000058,2024-05-25 08:49:01,CZ,EU-CENTRAL,Prague,CZ-406,49.75029,15.8497,AG-9788,SENIOR,CONFIDENTIAL,T-029,OP-2024-000058,DEEPBLUE-860,ESPIONAGE,Government,8,MEDIUM,HUMINT,FININT,45,63,63,64,61,322944,3730,142,N,Y,N,N,CLOSED,P2,Y,3,N,aurora-2.0,pattern matches known cluster,78.64,69.15,65.51,41.51,68.63,64.92,73.4,57.44,54.36,42.42,32.16,28.16,33.81,32.68,32.29,39.8,43.75,26.97,37.89,28.53,42.19,45.83,25.2,46.57,44.72,30.07,37.25,36.99,34.6,38.33,100,100,100,100,98.61,100,100,100,100,100,34.58,49.96,54.8,28.42,81.01,41.59,34.08,9.35,56.18,52.48,23.28,18.36,51.52,61.21,54.57,22.42,63.43,29.7,21.82,0
EVT-0000064,2024-10-29 17:36:08,CZ,EU-CENTRAL,Prague,CZ-421,49.16903,13.78472,AG-1178,SENIOR,CONFIDENTIAL,T-030,OP-2024-000064,MIRAGE-815,INSIDER_TRADING,Healthcare,9,CRITICAL,CYBINT,SIGINT,81,43,44,55,26,212045,2248,93,N,N,Y,N,IN_REVIEW,P1,N,1,N,aurora-2.0,manual verification pending,35.69,47.86,30.0,39.96,36.46,34.26,48.99,31.89,42.36,47.31,25.56,19.31,13.48,20.37,30.58,27.3,20.51,19.71,26.27,17.25,17.42,20.97,19.24,17.28,11.84,25.82,21.66,22.69,25.19,17.54,100,100,100,100,100,100,100,100,100,100,56.85,0,22.15,22.44,10.5,0,47.12,37.56,28.87,0,0,29.8,21.99,26.13,11.12,32.56,3.15,0.56,39.78,44.38
EVT-0000071,2024-06-17 16:08:40,CZ,EU-CENTRAL,Prague,CZ-168,50.05316,14.83818,AG-3918,JUNIOR,SECRET,T-017,OP-2024-000071,MIRAGE-390,RANSOMWARE,Healthcare,4,MEDIUM,OSINT,CYBINT,32,61,73,65,45,303900,3335,134,Y,Y,N,N,IN_REVIEW,P2,Y,0,N,aurora-1.1,manual verification pending,43.83,50.9,51.16,58.75,86.18,50.74,66.27,71.52,83.38,53.18,31.95,23.93,25.28,29.27,33.85,26.26,28.71,25.8,25.49,32.06,33.67,32.2,34.49,28.99,30.97,31.99,37.87,33.03,39.34,37.39,68.4,74.09,65.58,63.47,63.89,80.22,78.57,73.66,58.15,70.04,25.2,34.61,2.87,45.65,14.4,44.57,9.75,46.72,0,42.83,8.06,51.05,47.04,8.95,38.1,49.7,72.13,17.23,33.37,36.11
EVT-0000099,2024-05-17 05:20:16,CZ,EU-CENTRAL,Prague,CZ-420,49.78521,13.05237,AG-9257,SENIOR,SECRET,T-017,OP-2024-000099,NIGHTFALL-088,RANSOMWARE,Government,2,MEDIUM,CYBINT,FININT,53,61,70,67,43,316286,3211,130,N,N,N,N,NEW,P2,Y,1,N,aurora-1.2,possible duplicate event,58.62,76.13,74.53,63.58,63.68,63.22,61.14,70.2,68.95,59.78,35.24,34.46,35.2,38.25,38.55,26.9,33.69,30.46,36.59,26.6,26.17,32.86,23.19,30.65,33.67,32.85,38.08,36.59,32.02,29.36,51.11,52.26,50.93,67.78,55.36,61.76,62.18,50.31,67.44,41.83,34.49,51.59,10.76,5.33,48.24,22.71,10.47,81.67,38.84,0,27.1,35.78,12.17,13.57,29.99,33.8,41.16,46.01,5.52,17.86
EVT-0000118,2024-03-11 13:47:20,CZ,EU-CENTRAL,Prague,CZ-215,50.92378,13.5001,AG-8425,SENIOR,CONFIDENTIAL,T-016,OP-2024-000118,SPECTRUM-796,RANSOMWARE,Energy,5,LOW,OSINT,HUMINT,68,28,19,49,10,103319,1353,63,Y,N,N,N,CLOSED,P3,N,1,N,aurora-2.0,pattern matches known cluster,24.65,27.64,17.26,49.33,21.32,36.28,42.84,32.44,44.85,53.19,9.47,8.71,18.56,0.23,12.3,14.98,16.7,13.19,20.36,20.8,17.98,9.82,7.51,12.11,13.66,19.72,12.49,11.91,6.99,18.87,83.82,85.19,90.4,94.18,77.55,64.53,63.19,78.52,75.79,68.19,16.37,51.85,24.56,28.76,0,18.01,59.58,3.49,4.76,1.98,60.47,9.55,42.68,21.6,2.21,0,46.79,0,36.04,14.65
EVT-0000120,2024-10-19 00:11:42,CZ,EU-CENTRAL,Prague,CZ-833,49.90749,16.04569,AG-7611,ANALYST,TOP_SECRET,T-037,OP-2024-000120,DEEPBLUE-465,ESPIONAGE,Finance,3,MEDIUM,CYBINT,FININT,41,63,51,75,59,311158,2983,141,Y,N,Y,Y,IN_REVIEW,P2,Y,1,N,aurora-1.1,pattern matches known cluster,73.0,63.41,52.75,73.71,60.86,59.08,60.21,64.95,78.33,53.69,21.27,27.04,32.57,26.69,42.6,23.37,28.72,32.19,32.42,23.89,30.25,29.55,32.9,30.82,29.87,27.95,36.72,31.83,26.88,25.02,73.77,70.08,61.56,61.98,69.16,53.3,67.84,61.99,46.85,65.74,4.97,59.97,45.46,3.98,18.56,39.37,51.76,48.89,38.18,0,9.23,19.72,50.7,37.92,47.24,73.62,23.51,44.58,59.92,14.69
EVT-0000125,2024-05-13 08:59:11,CZ,EU-CENTRAL,Prague,CZ-433,49.41194,13.61998,AG-8129,JUNIOR,SECRET,T-020,OP-2024-000125,NIGHTFALL-594,RANSOMWARE,Finance,9,CRITICAL,FININT,OSINT,55,42,46,49,28,200844,2303,101,Y,Y,Y,N,CONFIRMED,P1,Y,1,N,aurora-2.0,anomaly detected,31.74,23.68,46.13,34.19,37.15,37.17,35.06,53.12,37.6,47.43,11.58,18.08,21.06,23.19,24.28,15.63,23.13,13.99,24.42,17.17,16.05,19.9,31.38,22.78,27.29,25.53,21.97,20.38,22.21,21.95,100,100,100,100,100,100,100,100,100,100,0,28.36,0,1.03,0,0,39.75,31.4,0.86,42.98,1.76,25.04,5.65,17.11,24.72,19.51,16.0,49.03,29.97,33.71
EVT-0000131,2024-06-06 18:00:01,CZ,EU-CENTRAL,Prague,CZ-917,48.88186,14.72452,AG-2512,ANALYST,TOP_SECRET,T-010,OP-2024-000131,NIGHTFALL-143,ESPIONAGE,Healthcare,7,LOW,FININT,CYBINT,54,39,43,50,20,169296,2143,76,Y,N,N,Y,CLOSED,P3,N,0,N,aurora-1.0,possible duplicate event,40.0,49.7,35.54,21.63,59.83,40.86,40.95,27.79,45.93,47.4,13.24,20.79,16.62,20.67,10.82,19.35,12.91,17.7,10.11,15.31,29.55,26.5,23.03,18.38,31.72,26.47,24.28,25.0,28.57,21.71,74.22,90.67,100,100,96.46,93.58,97.94,88.37,75.89,99.57,52.43,23.22,15.9,19.61,39.92,24.69,48.36,27.64,21.56,47.96,39.29,56.25,36.08,35.91,35.64,21.72,32.81,27.5,50.15,14.94
EVT-0000170,2024-10-16 03:49:42,CZ,EU-CENTRAL,Prague,CZ-961,49.45669,15.38506,AG-1852,HQ,TOP_SECRET,T-007,OP-2024-000170,NIGHTFALL-065,RANSOMWARE,Defense,7,CRITICAL,HUMINT,CYBINT,52,96,96,100,91,483895,5041,163,Y,Y,N,N,CONFIRMED,P1,Y,3,N,aurora-1.1,manual verification pending,98.3,91.76,100,88.65,75.95,98.55,99.1,96.69,100,87.42,45.08,45.6,44.03,53.68,51.83,62.36,56.64,45.21,46.9,44.68,47.77,51.86,53.83,48.09,51.55,45.79,44.49,51.37,40.84,44.57,100,100,100,100,100,100,100,100,100,100,26.8,20.52,44.99,40.93,23.21,43.61,41.2,35.78,35.93,70.14,4.68,65.62,45.82,26.17,46.43,59.11,80.37,63.55,33.28,18.66
EVT-0000177,2024-01-21 03:36:36,CZ,EU-CENTRAL,Prague,CZ-906,49.21893,14.85822,AG-4764,SENIOR,SECRET,T-025,OP-2024-000177,AURORA-807,ESPIONAGE,Finance,7,MEDIUM,FININT,OSINT,58,56,32,71,61,293777,3449,136,N,N,Y,Y,IN_REVIEW,P3,N,0,N,aurora-1.1,source reliability downgraded,50.98,60.4,66.45,66.92,53.47,55.73,52.92,36.61,68.25,48.01,27.66,31.38,27.7,23.34,29.56,32.87,36.43,41.48,37.85,28.5,29.06,25.0,32.26,36.14,33.17,22.4,37.79,37.09,33.21,32.39,86.46,84.49,81.47,93.19,94.24,90.15,100,100,83.84,90.09,9.67,8.22,46.42,62.46,16.08,27.74,32.03,20.81,16.4,39.51,0,36.74,24.96,27.33,50.26,64.92,53.89,47.95,18.64,0
EVT-0000195,2024-01-24 11:13:12,CZ,EU-CENTRAL,Prague,CZ-534,49.83295,14.29976,AG-1223,SENIOR,TOP_SECRET,T-039,OP-2024-000195,SPECTRUM-413,RANSOMWARE,Education,1,LOW,FININT,HUMINT,13,28,18,36,29,123241,2360,57,N,N,N,N,DISMISSED,P3,N,0,Y,aurora-1.1,cross-border activity detected,43.3,32.24,19.26,12.17,18.33,33.86,25.58,35.67,13.14,39.67,8.22,8.1,11.79,10.16,13.67,12.54,17.94,5.24,9.98,20.92,18.91,23.58,21.91,21.2,24.12,32.83,20.0,23.78,31.18,33.26,42.5,44.4,51.13,53.69,46.78,43.24,52.82,43.58,64.94,55.38,28.63,2.4,13.3,37.57,16.62,0,0,23.87,25.55,17.82,19.87,29.79,19.84,18.59,0,0,36.08,65.27,9.95,34.96
EVT-0000205,2024-02-03 19:11:12,CZ,EU-CENTRAL,Prague,CZ-102,50.94912,14.52627,AG-7451,JUNIOR,SECRET,T-017,OP-2024-000205,PHOENIX-721,RANSOMWARE,Finance,9,CRITICAL,OSINT,SIGINT,79,58,67,58,49,306788,2811,121,N,N,Y,Y,CONFIRMED,P1,Y,0,N,aurora-1.2,possible duplicate event,72.53,59.84,54.32,49.44,60.48,53.52,41.92,60.77,64.09,71.51,28.46,33.98,41.59,36.52,26.92,24.36,39.21,31.2,26.78,24.26,29.34,25.86,23.69,22.05,27.85,26.13,23.22,26.78,23.53,26.06,100,100,100,100,100,100,100,100,100,100,14.67,0,4.38,9.81,0,0,10.33,3.48,68.81,15.33,0,32.92,41.7,57.77,19.48,10.76,45.23,14.54,21.41,13.1
EVT-0000210,2024-09-19 10:43:17,CZ,EU-CENTRAL,Prague,CZ-894,49.95395,14.07562,AG-7092,ANALYST,TOP_SECRET,T-025,OP-2024-000210,MIRAGE-694,MONEY_LAUNDERING,Finance,5,MEDIUM,OSINT,FININT,51,48,54,45,46,223852,947,118,Y,N,N,N,DISMISSED,P3,N,1,Y,aurora-1.0,cross-border activity detected,25.81,39.33,54.53,45.15,43.58,50.35,52.07,50.62,55.64,50.18,26.37,23.97,12.61,25.26,25.63,19.72,15.96,17.56,19.76,31.32,15.14,0,4.52,3.77,4.86,18.14,14.81,5.17,6.89,11.62,92.96,68.14,76.99,80.16,91.05,78.33,71.45,72.76,71.11,78.61,8.7,4.84,16.21,37.93,69.48,19.21,23.73,19.19,4.68,45.75,34.59,1.7,44.85,24.62,17.96,83.47,62.48,31.69,6.06,32.55
EVT-0000224,2024-12-15 03:37:52,CZ,EU-CENTRAL,Prague,CZ-460,50.62992,14.01549,AG-5992,SENIOR,SECRET,T-012,OP-2024-000224,NIGHTFALL-037,MONEY_LAUNDERING,Education,4,HIGH,OSINT,CYBINT,97,69,62,87,50,316530,3267,162,Y,N,N,Y,NEW,P2,N,2,N,aurora-2.0,anomaly detected,63.59,83.63,70.32,73.92,74.35,63.05,69.3,69.3,55.72,65.87,34.57,34.81,39.64,36.41,37.84,28.2,22.82,30.7,23.7,28.14,35.72,41.0,38.28,33.1,29.97,25.67,44.14,26.88,30.1,34.46,100,100,100,100,100,100,100,99.96,99.49,100,66.2,0,66.32,67.03,23.8,40.95,61.53,0,17.64,51.19,35.72,0,41.42,11.09,80.62,24.66,37.52,65.73,47.8,21.71
EVT-0000228,2024-01-20 05:28:34,CZ,EU-CENTRAL,Prague,CZ-851,48.89215,14.99598,AG-4722,JUNIOR,TOP_SECRET,T-029,OP-2024-000228,PHOENIX-280,INSIDER_TRADING,Finance,9,CRITICAL,OSINT,HUMINT,79,71,74,67,74,344285,4120,122,Y,N,N,N,CONFIRMED,P1,Y,3,N,aurora-1.2,manual verification pending,69.78,71.09,83.42,70.15,58.54,69.02,50.72,77.92,74.14,64.19,35.89,35.27,30.0,36.8,35.55,36.7,30.54,31.7,28.98,30.96,48.54,43.17,40.87,48.09,51.87,32.14,43.57,42.32,40.65,55.44,100,100,100,100,100,100,100,100,100,100,15.69,42.23,19.8,34.18,45.82,37.39,16.38,57.95,23.95,18.34,47.1,19.49,12.91,24.65,15.29,49.84,57.74,62.83,34.47,3.6
EVT-0000229,2024-04-06 11:49:59,CZ,EU-CENTRAL,Prague,CZ-699,50.21287,13.78654,AG-7437,SENIOR,CONFIDENTIAL,T-016,OP-2024-000229,MIRAGE-080,RANSOMWARE,Education,10,CRITICAL,FININT,CYBINT,89,53,49,67,37,235387,2635,115,Y,N,Y,N,NEW,P1,N,3,N,aurora-1.1,cross-border activity detected,50.96,77.31,60.23,53.71,56.73,44.76,60.46,55.83,49.95,56.94,13.77,32.66,26.52,18.86,26.72,24.5,28.23,21.16,19.56,27.27,29.08,28.98,32.87,32.59,26.92,24.3,23.69,32.68,29.85,29.39,100,100,100,100,100,100,100,100,100,100,1.23,39.25,32.38,13.44,30.35,14.03,65.52,57.24,45.07,25.27,44.19,34.68,17.48,82.25,21.17,23.29,11.27,39.98,46.17,36.89
EVT-0000236,2024-04-05 21:17:54,CZ,EU-CENTRAL,Prague,CZ-671,50.17688,14.24937,AG-7860,ANALYST,SECRET,T-028,OP-2024-000236,AURORA-648,ESPIONAGE,Government,5,MEDIUM,CYBINT,OSINT,58,53,47,61,49,278212,3217,117,N,N,N,N,IN_REVIEW,P3,N,0,N,aurora-1.0,anomaly detected,34.49,53.72,35.55,49.17,67.48,51.3,56.89,68.28,50.18,42.37,28.03,31.07,27.19,28.63,29.72,30.97,25.72,22.31,29.69,30.84,32.45,31.49,26.27,26.89,30.93,43.18,31.92,32.67,31.99,39.11,80.84,88.03,81.5,73.83,71.56,87.88,68.81,89.46,75.24,75.04,51.89,44.35,8.3,0,58.74,7.2,29.02,0,24.33,31.76,8.14,17.37,53.86,25.0,67.36,41.48,45.63,32.49,38.94,0
EVT-0000237,2024-03-19 17:46:18,CZ,EU-CENTRAL,Prague,CZ-804,49.45401,13.38145,AG-9855,HQ,CONFIDENTIAL,T-016,OP-2024-000237,SPECTRUM-639,INSIDER_TRADING,Government,5,MEDIUM,OSINT,FININT,70,53,49,61,45,236501,2964,116,Y,N,Y,N,CLOSED,P3,N,1,N,aurora-2.0,pattern matches known cluster,60.4,46.82,55.27,51.43,64.72,46.98,59.85,34.74,56.41,60.79,16.06,16.2,21.02,18.68,28.85,12.04,23.55,24.82,36.82,25.25,21.93,30.81,29.45,34.43,35.51,38.08,26.62,28.81,29.13,23.34,74.95,93.15,76.7,79.91,82.69,78.54,77.04,76.54,80.85,74.14,40.34,19.51,29.01,0,44.11,3.06,25.3,56.2,17.85,17.99,57.66,40.54,51.44,20.57,51.7,43.91,1.71,13.07,53.53,10.03
